# File:  A1323.MFA_SSP_subsector_lftm_parameter.csv
# Title: paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)
# Units: NA
# Description:  paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)(updated 2025-08-01)
# Column types: ccnnnn
# ----------
region,scenario,T_lft_scale,M_lft_scale,C_lft_scale,P_lft_scale
Africa_Northern,SSP5,23.60875,35.8125,76.5,11.71875
Africa_Southern,SSP5,14.64833333,22.28333333,44.88,7.5
Africa_Western,SSP5,24.74153846,37.46538462,75.02884615,12.25961538
Argentina,SSP5,18.7,28.65,57.375,9.375
Australia_NZ,SSP5,22.61,34.29318182,68.71090909,11.25
Brazil,SSP5,18.7,28.65,57.375,9.375
Canada,SSP5,18.7,28.65,38.25,9.375
Central America and Caribbean,SSP5,22.56466667,34.22083333,68.5695,11.22916667
Central Asia,SSP5,17.2975,26.2625,52.785,8.75
China,SSP5,20.88166667,31.83333333,45.9,10.41666667
Colombia,SSP5,18.7,28.65,57.375,9.375
EU-12,SSP5,12.903,20.055,40.239,6.625
EU-15,SSP5,22.22423077,33.79230769,64.73076923,11.05769231
Ukraine,SSP5,15.66125,23.875,52.785,7.96875
Europe_Non_EU,SSP5,21.9725,33.425,62.15625,10.9375
European Free Trade Association,SSP5,25.245,38.2,76.5,12.5
India,SSP5,9.35,14.325,29.07,5
Indonesia,SSP5,18.7,28.65,57.375,9.375
Japan,SSP5,9.35,14.325,29.07,5
Mexico,SSP5,18.7,28.65,38.25,9.375
Middle East,SSP5,23.155,35.11029412,70.335,11.50735294
Pakistan,SSP5,18.7,28.65,57.375,9.375
Russia,SSP5,18.7,28.65,38.25,9.375
South Africa,SSP5,18.7,28.65,57.375,9.375
South America_Northern,SSP5,20.80375,31.634375,63.399375,10.390625
South America_Southern,SSP5,25.245,38.2,76.5,12.5
South Asia,SSP5,21.10428571,32.06071429,64.26,10.53571429
South Korea,SSP5,17.2975,26.2625,52.785,8.75
Southeast Asia,SSP5,22.015,33.425,70.44954545,10.96590909
Taiwan,SSP5,12.4355,19.1,38.25,6.25
USA,SSP5,18.7,28.65,57.375,9.375
Africa_Eastern,history,23.94444444,35.55555556,86.16666667,17.83333333
Africa_Northern,history,25.25,37.5,100,18.75
Africa_Southern,history,15.66666667,23.33333333,58.66666667,12
Africa_Western,history,26.46153846,39.23076923,98.07692308,19.61538462
Argentina,history,20,30,75,15
Australia_NZ,history,24.18181818,35.90909091,89.81818182,18
Brazil,history,20,30,75,15
Canada,history,20,30,50,15
