# File: 1_F_steel_200R_F_5_6_finished_steel_production.csv
# Title: Finished steel production by IEDC region, 1900-2008
# Units: Gg
# Description: Finished steel production from steel forming to the finished steel market
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
488412,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1952,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488413,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1953,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488414,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1954,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488415,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1955,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488416,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1956,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488417,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1957,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488418,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1958,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488419,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1959,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488420,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1960,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488421,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1961,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488422,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1962,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488423,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1963,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488424,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1964,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488425,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1965,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488426,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1966,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488427,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1967,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488428,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1968,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488429,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1969,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488430,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1970,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488431,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1971,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488432,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1972,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488433,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1973,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488434,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1974,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488435,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1975,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488436,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1976,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488437,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1977,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488438,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1978,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488439,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1979,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488440,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1980,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488441,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1981,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488442,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1982,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488443,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1983,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488444,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1984,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488445,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1985,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488446,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1986,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488447,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1987,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488448,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1988,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488449,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1989,,,,,,0.002271488,Gg,yr,No uncertainty,,,,,,,
488450,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1990,,,,,,0.00959038,Gg,yr,No uncertainty,,,,,,,
488451,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1991,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488452,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1992,,,,,,0,Gg,yr,No uncertainty,,,,,,,
