# File: 1_F_steel_200R_F_11_12_final_steel_consumption.csv
# Title: Final steel consumption by IEDC region, 1900-2008
# Units: Gg
# Description: Final steel consumption from the market for final products to the use phase
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
599804,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1946,,,,,,0.0242515,Gg,yr,No uncertainty,,,,,,,
599805,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1947,,,,,,0.024778706,Gg,yr,No uncertainty,,,,,,,
599806,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1948,,,,,,0.025305913,Gg,yr,No uncertainty,,,,,,,
599807,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1949,,,,,,0.02583312,Gg,yr,No uncertainty,,,,,,,
599808,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1950,,,,,,0.026360326,Gg,yr,No uncertainty,,,,,,,
599809,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1951,,,,,,0.026887533,Gg,yr,No uncertainty,,,,,,,
599810,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1952,,,,,,0.027414739,Gg,yr,No uncertainty,,,,,,,
599811,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1953,,,,,,0.027941946,Gg,yr,No uncertainty,,,,,,,
599812,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1954,,,,,,0.028469152,Gg,yr,No uncertainty,,,,,,,
599813,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1955,,,,,,0.028996359,Gg,yr,No uncertainty,,,,,,,
599814,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1956,,,,,,0.029523565,Gg,yr,No uncertainty,,,,,,,
599815,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1957,,,,,,0.030050772,Gg,yr,No uncertainty,,,,,,,
599816,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1958,,,,,,0.030577978,Gg,yr,No uncertainty,,,,,,,
599817,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1959,,,,,,0.031105185,Gg,yr,No uncertainty,,,,,,,
599818,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1960,,,,,,0.031632391,Gg,yr,No uncertainty,,,,,,,
